RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)
0			Unclassified	17			646	389
33		1	Saccade	200			636	372
67		1	Saccade	200			646	382
100		1	Saccade	200			633	357
133		1	Saccade	200			653	392
167		1	Saccade	200			641	385
200		1	Saccade	200			642	377
233	1		Fixation	167	633	372	638	375
267	1		Fixation	167	633	372	631	368
300	1		Fixation	167	633	372	635	377
333	1		Fixation	167	633	372	632	373
367	1		Fixation	167	633	372	631	367
400			Unclassified	633				
433			Unclassified	633				
467			Unclassified	633				
500			Unclassified	633				
533			Unclassified	633				
567			Unclassified	633				
600			Unclassified	633				
633			Unclassified	633				
667			Unclassified	633				
700			Unclassified	633				
733			Unclassified	633				
767			Unclassified	633				
800			Unclassified	633				
833			Unclassified	633				
867			Unclassified	633				
900			Unclassified	633				
933			Unclassified	633				
967			Unclassified	633				
1000			Unclassified	633				
1033			Unclassified	33			513	341
1067			Unclassified	33			520	342
1100		2	Saccade	167			520	335
1133		2	Saccade	167			513	340
1167		2	Saccade	167			521	333
1200		2	Saccade	167			532	334
1233		2	Saccade	167			542	348
1267	2		Fixation	67	546	345	545	348
1300	2		Fixation	67	546	345	547	343
1333		3	Saccade	33			532	346
1367	3		Fixation	100	537	351	537	346
1400	3		Fixation	100	537	351	536	351
1433	3		Fixation	100	537	351	538	357
1467		4	Saccade	133			548	357
1500		4	Saccade	133			612	337
1533		4	Saccade	133			598	330
1567		4	Saccade	133			592	345
1600			Unclassified	33			599	345
1633		5	Saccade	67			586	354
1667		5	Saccade	67			582	341
1700	4		Fixation	67	583	347	582	346
1733	4		Fixation	67	583	347	584	347
1767		6	Saccade	33			575	347
1800			Unclassified	33			577	343
1833		7	Saccade	33			552	340
1867			Unclassified	133				
1900			Unclassified	133				
1933			Unclassified	133				
1967			Unclassified	133				
2000			Unclassified	33			560	339
2033		8	Saccade	667			567	347
2067		8	Saccade	667			573	335
2100		8	Saccade	667			571	350
2133		8	Saccade	667			577	338
2167		8	Saccade	667			564	345
2200		8	Saccade	667			576	337
2233		8	Saccade	667			562	341
2267		8	Saccade	667			573	336
2300		8	Saccade	667			562	340
2333		8	Saccade	667			575	337
2367		8	Saccade	667			577	357
2400		8	Saccade	667			586	354
2433		8	Saccade	667			591	367
2467		8	Saccade	667			600	376
2500		8	Saccade	667			611	383
2533		8	Saccade	667			592	374
2567		8	Saccade	667			564	373
2600		8	Saccade	667			573	385
2633		8	Saccade	667			582	394
2667		8	Saccade	667			590	401
2700	5		Fixation	200	599	395	599	407
2733	5		Fixation	200	599	395	602	402
2767	5		Fixation	200	599	395	602	398
2800	5		Fixation	200	599	395	600	395
2833	5		Fixation	200	599	395	598	389
2867	5		Fixation	200	599	395	594	381
2900		9	Saccade	67			594	372
2933		9	Saccade	67			589	361
2967	6		Fixation	100	584	358	587	360
3000	6		Fixation	100	584	358	586	356
3033	6		Fixation	100	584	358	579	358
3067		10	Saccade	67			561	371
3100		10	Saccade	67			498	762
3133			Unclassified	100				
3167			Unclassified	100				
3200			Unclassified	100				
3233			Unclassified	33			560	460
3267		11	Saccade	33			552	378
3300			Unclassified	33			555	375
3333		12	Saccade	67			553	381
3367		12	Saccade	67			561	376
3400	7		Fixation	67	560	376	560	376
3433	7		Fixation	67	560	376	560	375
3467		13	Saccade	33			573	370
3500			Unclassified	33			580	373
3533		14	Saccade	167			587	368
3567		14	Saccade	167			594	359
3600		14	Saccade	167			590	367
3633		14	Saccade	167			578	362
3667		14	Saccade	167			543	434
3700			Unclassified	33			541	427
3733		15	Saccade	33			546	417
3767	8		Fixation	67	546	420	546	421
3800	8		Fixation	67	546	420	545	419
3833		16	Saccade	67			553	414
3867		16	Saccade	67			550	423
3900			Unclassified	33			554	420
3933		17	Saccade	133			552	432
3967		17	Saccade	133			545	441
4000		17	Saccade	133			570	425
4033		17	Saccade	133			558	422
4067			Unclassified	33			566	429
4100		18	Saccade	67			572	424
4133		18	Saccade	67			574	438
4167			Unclassified	33			574	433
4200		19	Saccade	200			550	436
4233		19	Saccade	200			596	504
4267		19	Saccade	200				
4300		19	Saccade	200				
4333		19	Saccade	200			692	497
4367		19	Saccade	200			736	290
4400	9		Fixation	67	739	289	745	287
4433	9		Fixation	67	739	289	733	291
4467		20	Saccade	33			734	300
4500	10		Fixation	100	732	305	726	302
4533	10		Fixation	100	732	305	735	304
4567	10		Fixation	100	732	305	734	308
4600		21	Saccade	33			744	302
4633			Unclassified	33			740	309
4667			Unclassified	133				
4700			Unclassified	133				
4733			Unclassified	133				
4767			Unclassified	133				
4800			Unclassified	33			605	430
4833		22	Saccade	33			592	394
4867			Unclassified	33			588	388
4900		23	Saccade	67			578	390
4933		23	Saccade	67			578	402
4967			Unclassified	33			582	400
5000		24	Saccade	50			577	406
5033		24	Saccade	50			580	419
5100			Unclassified	17			583	429
5133		25	Saccade	50			593	428
5167		25	Saccade	50			591	436
5233			Unclassified	17			574	419
5267			Unclassified	33			572	412
5300		26	Saccade	17			571	425
5367			Unclassified	17			571	423
5400		27	Saccade	33			565	427
5433			Unclassified	17			569	425
5500			Unclassified	17			564	431
5533	11		Fixation	100	568	428	567	425
5567	11		Fixation	100	568	428	568	432
5600	11		Fixation	100	568	428	570	427
5633		28	Saccade	33			580	422
5667			Unclassified	33			575	423
5700		29	Saccade	33			580	412
5733	12		Fixation	100	575	415	576	416
5767	12		Fixation	100	575	415	574	414
5800	12		Fixation	100	575	415	574	415
5833		30	Saccade	133			579	409
5867		30	Saccade	133			571	418
5900		30	Saccade	133			516	419
5933		30	Saccade	133			433	409
5967	13		Fixation	67	438	417	436	415
6000	13		Fixation	67	438	417	441	418
6033		31	Saccade	133			444	414
6067		31	Saccade	133			440	418
6100		31	Saccade	133			430	423
6133		31	Saccade	133			430	412
6167			Unclassified	33			430	408
6200		32	Saccade	67			420	406
6233		32	Saccade	67			455	418
6267			Unclassified	100				
6300			Unclassified	100				
6333			Unclassified	100				
6367			Unclassified	33			500	438
6400		33	Saccade	500			473	353
6433		33	Saccade	500			498	355
6467		33	Saccade	500			509	348
6500		33	Saccade	500			515	336
6533		33	Saccade	500			507	335
6567		33	Saccade	500			492	328
6600		33	Saccade	500			486	311
6633		33	Saccade	500			500	297
6667		33	Saccade	500			524	295
6700		33	Saccade	500			530	290
6733		33	Saccade	500			519	299
6767		33	Saccade	500			491	308
6800		33	Saccade	500			488	318
6833		33	Saccade	500			519	326
6867		33	Saccade	500			511	324
6900			Unclassified	33			507	319
6933		34	Saccade	100			508	312
6967		34	Saccade	100			500	318
7000		34	Saccade	100			526	456
7033			Unclassified	100				
7067			Unclassified	100				
7100			Unclassified	100				
7133			Unclassified	33			578	395
7167		35	Saccade	67			578	361
7200		35	Saccade	67			592	364
7233	14		Fixation	200	611	360	600	363
7267	14		Fixation	200	611	360	605	361
7300	14		Fixation	200	611	360	606	358
7333	14		Fixation	200	611	360	616	362
7367	14		Fixation	200	611	360	621	359
7400	14		Fixation	200	611	360	619	359
7433		36	Saccade	133			633	352
7467		36	Saccade	133			642	349
7500		36	Saccade	133			647	342
7533		36	Saccade	133			646	330
7567			Unclassified	33			642	335
7600			Unclassified	133				
7633			Unclassified	133				
7667			Unclassified	133				
7700			Unclassified	133				
7733			Unclassified	33			643	371
7767		37	Saccade	200			633	341
7800		37	Saccade	200			600	323
7833		37	Saccade	200			592	328
7867		37	Saccade	200			601	336
7900		37	Saccade	200			612	339
7933		37	Saccade	200			595	339
7967			Unclassified	133				
8000			Unclassified	133				
8033			Unclassified	133				
8067			Unclassified	133				
8100			Unclassified	33			566	340
8133		38	Saccade	133			587	348
8167		38	Saccade	133			595	342
8200		38	Saccade	133			588	349
8233		38	Saccade	133			595	345
8267			Unclassified	33			589	344
8300		39	Saccade	67			560	423
8333		39	Saccade	67			567	405
8367	15		Fixation	67	571	401	570	401
8400	15		Fixation	67	571	401	571	401
8433		40	Saccade	33			563	412
8467			Unclassified	33			559	409
8500			Unclassified	167				
8533			Unclassified	167				
8567			Unclassified	167				
8600			Unclassified	167				
8633			Unclassified	167				
8667			Unclassified	33			568	449
8700			Unclassified	33			565	441
8733		41	Saccade	100			574	435
8767		41	Saccade	100			586	434
8800		41	Saccade	100			602	433
8833	16		Fixation	100	600	441	600	439
8867	16		Fixation	100	600	441	603	443
8900	16		Fixation	100	600	441	595	440
8933		42	Saccade	67			583	428
8967		42	Saccade	67			585	351
9000			Unclassified	33			579	354
9033		43	Saccade	33			586	351
9067			Unclassified	33			586	352
9100		44	Saccade	33			570	363
9133			Unclassified	133				
9167			Unclassified	133				
9200			Unclassified	133				
9233			Unclassified	133				
9267			Unclassified	33			559	479
9300		45	Saccade	100			573	399
9333		45	Saccade	100			577	412
9367		45	Saccade	100			574	398
9400	17		Fixation	133	582	403	580	403
9433	17		Fixation	133	582	403	587	401
9467	17		Fixation	133	582	403	582	407
9500	17		Fixation	133	582	403	580	403
9533		46	Saccade	67			590	398
9567		46	Saccade	67			592	407
9600	18		Fixation	67	596	408	596	406
9633	18		Fixation	67	596	408	597	409
9667		47	Saccade	33			607	408
9700	19		Fixation	67	603	406	604	408
9733	19		Fixation	67	603	406	602	404
9767		48	Saccade	100			576	392
9800		48	Saccade	100			791	339
9833		48	Saccade	100			767	351
9867	20		Fixation	167	783	356	770	353
9900	20		Fixation	167	783	356	782	348
9933	20		Fixation	167	783	356	778	355
9967	20		Fixation	167	783	356	786	360
10000	20		Fixation	167	783	356	797	366
10033		49	Saccade	83			590	387
10067		49	Saccade	83			575	383
10100		49	Saccade	83			565	399
10167			Unclassified	67				
10200			Unclassified	67				
10233			Unclassified	67				
10300			Unclassified	17			532	391
10333		50	Saccade	33			547	378
10367			Unclassified	33			553	384
10400		51	Saccade	33			559	380
10433			Unclassified	33			557	373
10467		52	Saccade	67			547	373
10500		52	Saccade	67			683	400
10533	21		Fixation	67	682	394	678	394
10567	21		Fixation	67	682	394	685	394
10600		53	Saccade	33			697	391
10633	22		Fixation	67	695	399	695	398
10667	22		Fixation	67	695	399	695	400
10700		54	Saccade	133				
10733		54	Saccade	133			520	347
10767		54	Saccade	133			517	360
10800		54	Saccade	133			526	353
10833	23		Fixation	67	526	356	526	356
10867	23		Fixation	67	526	356	526	357
10900		55	Saccade	33			523	362
10933			Unclassified	33			527	367
10967		56	Saccade	100			545	365
11000		56	Saccade	100			625	375
11033		56	Saccade	100			625	365
11067			Unclassified	33			617	365
11100		57	Saccade	67			599	378
11133		57	Saccade	67			576	475
